date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,has_shootout,shootout_winner,goalscorers_rows,penalty_goals_count,own_goals_count,fixture_id,league_id,season,source,home_team_norm,away_team_norm,home_rank_position,home_rank_points,away_rank_position,away_rank_points,rank_points_diff
2022-11-20,Qatar,Ecuador,0.0,2.0,World Cup,,,,False,,0,0,0,855736,1,2022,api_football,Qatar,Ecuador,56.0,1454.96,23.0,1591.73,-136.76999999999998
2022-11-21,England,Iran,6.0,2.0,World Cup,,,,False,,0,0,0,855735,1,2022,api_football,England,IR Iran,4.0,1834.12,20.0,1617.02,217.0999999999999
2022-11-21,Senegal,Netherlands,0.0,2.0,World Cup,,,,False,,0,0,0,855734,1,2022,api_football,Senegal,Netherlands,14.0,1684.86,7.0,1756.27,-71.41000000000008
2022-11-21,United States,Wales,1.0,1.0,World Cup,,,,False,,0,0,0,866681,1,2022,api_football,USA,Wales,15.0,1681.88,35.0,1529.71,152.17000000000007
2022-11-22,Argentina,Saudi Arabia,1.0,2.0,World Cup,,,,False,,0,0,0,855737,1,2022,api_football,Argentina,Saudi Arabia,2.0,1873.33,61.0,1429.48,443.8499999999999
2022-11-22,Denmark,Tunisia,0.0,0.0,World Cup,,,,False,,0,0,0,855738,1,2022,api_football,Denmark,Tunisia,21.0,1616.75,47.0,1479.04,137.71000000000004
2022-11-22,Mexico,Poland,0.0,0.0,World Cup,,,,False,,0,0,0,855739,1,2022,api_football,Mexico,Poland,16.0,1675.75,34.0,1532.04,143.71000000000004
2022-11-22,France,Australia,4.0,1.0,World Cup,,,,False,,0,0,0,871850,1,2022,api_football,France,Australia,3.0,1870.0,27.0,1574.01,295.99
2022-11-23,Morocco,Croatia,0.0,0.0,World Cup,,,,False,,0,0,0,855740,1,2022,api_football,Morocco,Croatia,8.0,1736.56,11.0,1716.88,19.679999999999836
2022-11-23,Germany,Japan,1.0,2.0,World Cup,,,,False,,0,0,0,855741,1,2022,api_football,Germany,Japan,10.0,1724.15,19.0,1650.12,74.0300000000002
2022-11-23,Spain,Costa Rica,7.0,0.0,World Cup,,,,False,,0,0,0,871851,1,2022,api_football,Spain,Costa Rica,1.0,1877.18,51.0,1464.24,412.94000000000005
2022-11-23,Belgium,Canada,1.0,0.0,World Cup,,,,False,,0,0,0,855742,1,2022,api_football,Belgium,Canada,9.0,1730.71,29.0,1559.15,171.55999999999995
2022-11-24,Switzerland,Cameroon,1.0,0.0,World Cup,,,,False,,0,0,0,855743,1,2022,api_football,Switzerland,Cameroon,18.0,1654.69,45.0,1482.39,172.29999999999995
2022-11-24,Uruguay,South Korea,0.0,0.0,World Cup,,,,False,,0,0,0,855744,1,2022,api_football,Uruguay,Korea Republic,17.0,1672.62,22.0,1599.45,73.16999999999985
2022-11-24,Portugal,Ghana,3.0,2.0,World Cup,,,,False,,0,0,0,855745,1,2022,api_football,Portugal,Ghana,6.0,1760.38,72.0,1351.09,409.2900000000002
2022-11-24,Brazil,Serbia,2.0,0.0,World Cup,,,,False,,0,0,0,855746,1,2022,api_football,Brazil,Serbia,5.0,1760.46,39.0,1506.34,254.12000000000012
2022-11-25,Wales,Iran,0.0,2.0,World Cup,,,,False,,0,0,0,866682,1,2022,api_football,Wales,IR Iran,35.0,1529.71,20.0,1617.02,-87.30999999999995
2022-11-25,Qatar,Senegal,1.0,3.0,World Cup,,,,False,,0,0,0,855747,1,2022,api_football,Qatar,Senegal,56.0,1454.96,14.0,1684.86,-229.89999999999986
2022-11-25,Netherlands,Ecuador,1.0,1.0,World Cup,,,,False,,0,0,0,855748,1,2022,api_football,Netherlands,Ecuador,7.0,1756.27,23.0,1591.73,164.53999999999996
2022-11-25,England,United States,0.0,0.0,World Cup,,,,False,,0,0,0,855749,1,2022,api_football,England,USA,4.0,1834.12,15.0,1681.88,152.23999999999978
2022-11-26,Tunisia,Australia,0.0,1.0,World Cup,,,,False,,0,0,0,871852,1,2022,api_football,Tunisia,Australia,47.0,1479.04,27.0,1574.01,-94.97000000000003
2022-11-26,Poland,Saudi Arabia,2.0,0.0,World Cup,,,,False,,0,0,0,855750,1,2022,api_football,Poland,Saudi Arabia,34.0,1532.04,61.0,1429.48,102.55999999999995
