run_id,extract_timestamp,league_id,league_name,season,endpoint,params,results_field,paging_field,response_count,status,error,raw_file_path
2026-01-18_201630,2026-01-18_201631,1,World Cup,2022,/fixtures,"{""league"": 1, ""season"": 2022}",64,"{""current"": 1, ""total"": 1}",64,OK,,data/raw/api_football\fixtures\league_1_World_Cup\fixtures_league_1_season_2022_2026-01-18_201631.json
2026-01-18_201630,2026-01-18_201632,1,World Cup,2023,/fixtures,"{""league"": 1, ""season"": 2023}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_1_World_Cup\fixtures_league_1_season_2023_2026-01-18_201632.json
2026-01-18_201630,2026-01-18_201633,1,World Cup,2024,/fixtures,"{""league"": 1, ""season"": 2024}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_1_World_Cup\fixtures_league_1_season_2024_2026-01-18_201633.json
2026-01-18_201630,2026-01-18_201634,10,Friendlies,2022,/fixtures,"{""league"": 10, ""season"": 2022}",397,"{""current"": 1, ""total"": 1}",397,OK,,data/raw/api_football\fixtures\league_10_Friendlies\fixtures_league_10_season_2022_2026-01-18_201634.json
2026-01-18_201630,2026-01-18_201636,10,Friendlies,2023,/fixtures,"{""league"": 10, ""season"": 2023}",408,"{""current"": 1, ""total"": 1}",408,OK,,data/raw/api_football\fixtures\league_10_Friendlies\fixtures_league_10_season_2023_2026-01-18_201636.json
2026-01-18_201630,2026-01-18_201637,10,Friendlies,2024,/fixtures,"{""league"": 10, ""season"": 2024}",394,"{""current"": 1, ""total"": 1}",394,OK,,data/raw/api_football\fixtures\league_10_Friendlies\fixtures_league_10_season_2024_2026-01-18_201637.json
2026-01-18_201630,2026-01-18_201639,5,UEFA Nations League,2022,/fixtures,"{""league"": 5, ""season"": 2022}",168,"{""current"": 1, ""total"": 1}",168,OK,,data/raw/api_football\fixtures\league_5_UEFA_Nations_League\fixtures_league_5_season_2022_2026-01-18_201639.json
2026-01-18_201630,2026-01-18_201640,5,UEFA Nations League,2023,/fixtures,"{""league"": 5, ""season"": 2023}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_5_UEFA_Nations_League\fixtures_league_5_season_2023_2026-01-18_201640.json
2026-01-18_201630,2026-01-18_201641,5,UEFA Nations League,2024,/fixtures,"{""league"": 5, ""season"": 2024}",188,"{""current"": 1, ""total"": 1}",188,OK,,data/raw/api_football\fixtures\league_5_UEFA_Nations_League\fixtures_league_5_season_2024_2026-01-18_201641.json
2026-01-18_201630,2026-01-18_201642,9,Copa America,2022,/fixtures,"{""league"": 9, ""season"": 2022}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_9_Copa_America\fixtures_league_9_season_2022_2026-01-18_201642.json
2026-01-18_201630,2026-01-18_201644,9,Copa America,2023,/fixtures,"{""league"": 9, ""season"": 2023}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_9_Copa_America\fixtures_league_9_season_2023_2026-01-18_201644.json
2026-01-18_201630,2026-01-18_201645,9,Copa America,2024,/fixtures,"{""league"": 9, ""season"": 2024}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_9_Copa_America\fixtures_league_9_season_2024_2026-01-18_201645.json
2026-01-18_201630,2026-01-18_201646,4,Euro Championship,2022,/fixtures,"{""league"": 4, ""season"": 2022}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_4_Euro_Championship\fixtures_league_4_season_2022_2026-01-18_201646.json
2026-01-18_201630,2026-01-18_201647,4,Euro Championship,2023,/fixtures,"{""league"": 4, ""season"": 2023}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_4_Euro_Championship\fixtures_league_4_season_2023_2026-01-18_201647.json
2026-01-18_201630,2026-01-18_201648,4,Euro Championship,2024,/fixtures,"{""league"": 4, ""season"": 2024}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_4_Euro_Championship\fixtures_league_4_season_2024_2026-01-18_201648.json
2026-01-18_201630,2026-01-18_201649,960,Euro Championship - Qualification,2022,/fixtures,"{""league"": 960, ""season"": 2022}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_960_Euro_Championship_-_Qualification\fixtures_league_960_season_2022_2026-01-18_201649.json
2026-01-18_201630,2026-01-18_201651,960,Euro Championship - Qualification,2023,/fixtures,"{""league"": 960, ""season"": 2023}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_960_Euro_Championship_-_Qualification\fixtures_league_960_season_2023_2026-01-18_201651.json
2026-01-18_201630,2026-01-18_201652,960,Euro Championship - Qualification,2024,/fixtures,"{""league"": 960, ""season"": 2024}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_960_Euro_Championship_-_Qualification\fixtures_league_960_season_2024_2026-01-18_201652.json
2026-01-18_201630,2026-01-18_201653,29,World Cup - Qualification Africa,2022,/fixtures,"{""league"": 29, ""season"": 2022}",0,"{""current"": 1, ""total"": 1}",0,OK,,data/raw/api_football\fixtures\league_29_World_Cup_-_Qualification_Africa\fixtures_league_29_season_2022_2026-01-18_201653.json
