position,team,points
101,Mozambique (MOZ),"1,224.31"
102,Luxembourg (LUX),"1,218.91"
103,Kyrgyz Republic (KGZ),"1,201.22"
104,Madagascar (MAD),"1,198.87"
105,Armenia (ARM),"1,196.08"
106,Comoros (COM),"1,193.49"
107,Equatorial Guinea (EQG),"1,190.01"
108,Vietnam (VIE),"1,189.51"
109,Lebanon (LBN),"1,187.96"
110,Tanzania (TAN),"1,186.13"
111,Niger (NIG),"1,185.09"
112,Libya (LBY),"1,183.06"
113,Kenya (KEN),"1,179.54"
114,Kazakhstan (KAZ),"1,173.00"
115,Mauritania (MTN),"1,171.35"
116,The Gambia (GAM),"1,161.55"
117,Sudan (SDN),"1,157.22"
118,Namibia (NAM),"1,153.22"
119,Korea DPR (PRK),"1,151.05"
120,Sierra Leone (SLE),"1,149.10"
121,Malaysia (MAS),"1,145.89"
122,Indonesia (IDN),"1,144.73"
123,Suriname (SUR),"1,140.54"
124,Togo (TOG),"1,140.35"
125,Faroe Islands (FRO),"1,135.42"
126,Malawi (MWI),"1,133.75"
127,Azerbaijan (AZE),"1,132.97"
128,Cyprus (CYP),"1,128.50"
129,Estonia (EST),"1,123.11"
130,Rwanda (RWA),"1,117.78"
131,Nicaragua (NCA),"1,116.86"
132,Zimbabwe (ZIM),"1,113.62"
133,Guinea-Bissau (GNB),"1,108.09"
134,Congo (CGO),"1,105.96"
135,Kuwait (KUW),"1,105.10"
136,Philippines (PHI),"1,090.95"
137,Turkmenistan (TKM),"1,087.52"
138,Central African Republic (CTA),"1,083.57"
139,Latvia (LVA),"1,082.68"
140,Liberia (LBR),"1,081.46"
141,India (IND),"1,079.52"
142,Dominican Republic (DOM),"1,077.49"
143,Lesotho (LES),"1,065.97"
144,Botswana (BOT),"1,062.42"
145,Burundi (BDI),"1,060.22"
146,Lithuania (LTU),"1,056.34"
147,Ethiopia (ETH),"1,055.36"
148,Singapore (SGP),"1,050.35"
149,Yemen (YEM),"1,049.49"
150,New Caledonia (NCL),"1,042.62"
