position,team,points
1,Spain (ESP),"1,877.18"
2,Argentina (ARG),"1,873.33"
3,France (FRA),"1,870.00"
4,England (ENG),"1,834.12"
5,Brazil (BRA),"1,760.46"
6,Portugal (POR),"1,760.38"
7,Netherlands (NED),"1,756.27"
8,Morocco (MAR),"1,736.56"
9,Belgium (BEL),"1,730.71"
10,Germany (GER),"1,724.15"
11,Croatia (CRO),"1,716.88"
12,Italy (ITA),"1,702.06"
13,Colombia (COL),"1,701.30"
14,Senegal (SEN),"1,684.86"
15,USA (USA),"1,681.88"
16,Mexico (MEX),"1,675.75"
17,Uruguay (URU),"1,672.62"
18,Switzerland (SUI),"1,654.69"
19,Japan (JPN),"1,650.12"
20,IR Iran (IRN),"1,617.02"
21,Denmark (DEN),"1,616.75"
22,Korea Republic (KOR),"1,599.45"
23,Ecuador (ECU),"1,591.73"
24,Austria (AUT),"1,585.51"
25,Türkiye (TUR),"1,582.69"
26,Nigeria (NGA),"1,581.56"
27,Australia (AUS),"1,574.01"
28,Algeria (ALG),"1,560.91"
29,Canada (CAN),"1,559.15"
30,Ukraine (UKR),"1,557.47"
31,Egypt (EGY),"1,556.72"
32,Norway (NOR),"1,553.14"
33,Panama (PAN),"1,540.43"
34,Poland (POL),"1,532.04"
35,Wales (WAL),"1,529.71"
36,Russia (RUS),"1,524.52"
37,Côte d'Ivoire (CIV),"1,522.49"
38,Scotland (SCO),"1,506.77"
39,Serbia (SRB),"1,506.34"
40,Paraguay (PAR),"1,501.50"
41,Hungary (HUN),"1,496.29"
42,Sweden (SWE),"1,487.13"
43,Czechia (CZE),"1,487.00"
44,Slovakia (SVK),"1,485.65"
45,Cameroon (CMR),"1,482.39"
46,Greece (GRE),"1,480.38"
47,Tunisia (TUN),"1,479.04"
48,Congo DR (COD),"1,468.22"
49,Romania (ROU),"1,465.78"
50,Venezuela (VEN),"1,465.22"
