scenario,label,model,n,accuracy,f1_macro,f1_weighted,auc_macro,auc_weighted,fold_acc_std,ks_0,ks_1,ks_2
A_full,Histórico completo,LogisticRegression,49971,0.5565561959654178,0.41727885714086543,0.4854028900191495,0.6858461412416418,0.6965642503386213,0.022732168181246598,0.33643076868198846,0.14204026903870148,0.3197131298950791
A_full,Histórico completo,RandomForest,49971,0.5219500480307396,0.45548902396627877,0.504567977229924,0.6570839194144596,0.6688911717872397,0.021052783275669108,0.3038520904090817,0.09292821536254875,0.2804320599970445
A_full,Histórico completo,HistGradientBoosting,49971,0.5585014409221902,0.45752613949702176,0.5164748126437549,0.6888529118298945,0.7015383853216601,0.04116681326246143,0.3518293119633638,0.12907615120175697,0.3266784579577361
B_30_anios,Últimos 30 años,LogisticRegression,29999,0.5799559911982396,0.456285278999734,0.521429047265802,0.711313594014943,0.7238856188312313,0.018651368193761526,0.38264410947997113,0.17596658789182507,0.3704241414502696
B_30_anios,Últimos 30 años,RandomForest,29999,0.5387077415483097,0.47458892654677126,0.5226152687735821,0.6826656600513522,0.6961604710877317,0.011418763069811537,0.34912400448399816,0.12125761700211973,0.32607102483410344
B_30_anios,Últimos 30 años,HistGradientBoosting,29999,0.5865973194638928,0.4787871881574913,0.5390819724989973,0.7175630580364145,0.7310905195453032,0.02115610111392251,0.39735507717800006,0.17223761869366816,0.3743031875959581
C_20_anios,Últimos 20 años,LogisticRegression,21240,0.5879661016949153,0.46223908284611054,0.5281980588018363,0.7176504198047136,0.7312598272431619,0.01823170057011811,0.40015362080017786,0.18325314146430471,0.3841665532938523
C_20_anios,Últimos 20 años,RandomForest,21240,0.5442937853107345,0.48060288902935766,0.5284192597488465,0.6904500676143481,0.7036181642207394,0.01687024948709151,0.35691926159784787,0.13501809234912887,0.3323579754702704
C_20_anios,Últimos 20 años,HistGradientBoosting,21240,0.5784180790960451,0.48233280169433773,0.5402579590417489,0.7154698889151557,0.7299235853941742,0.032547767129821575,0.40055516298256416,0.16043133410122412,0.37952490680422174
D_10_anios,Últimos 10 años,LogisticRegression,11853,0.5924050632911393,0.48669287287292834,0.545820673650966,0.7252418307437195,0.7378104079505685,0.027343647380607215,0.4267995858902298,0.19601421662252838,0.3839081688010653
D_10_anios,Últimos 10 años,RandomForest,11853,0.5581772151898734,0.4948810374557036,0.5419419552153123,0.7039959524962293,0.7185398851791258,0.028942544568091266,0.3907495273150989,0.13488493431194692,0.3579224136513834
D_10_anios,Últimos 10 años,HistGradientBoosting,11853,0.5566582278481013,0.49855098133606307,0.5430848544290383,0.7100054996196857,0.7240149625889117,0.049280781420357536,0.39979783177772904,0.14436503808368584,0.3541339246083283
